Timer,Time (s),MFLOPS (mops/s),FLOP (op)
Solver Setup,0.175800,0.000000,0
Solver,1605.202000,18.275053,2.93352e+10
Richards Exclude 1st Time Step,1600.818300,18.307376,2.93068e+10
Solver Cleanup,0.012000,0.000000,0
Matvec,28.501800,259.147294,7.38616e+09
PFSB I/O,0.000000,0.000000,0
PFB I/O,0.176300,0.000000,0
CLM,0.008600,0.000000,0
PFSOL Read,0.000000,0.000000,0
Clustering,2.149000,0.000000,0
Netcdf I/O,0.000000,0.000000,0
Permeability Face,0.000000,0.000000,0
Godunov Advection,0.000000,0.000000,0
Geometries,0.488600,0.000000,0
SubsrfSim,0.023300,0.000000,0
Porosity,0.005000,0.000000,0
PhaseRelPerm,195.276800,0.000259,50611
PFMG,119.086700,0.000000,0
HYPRE_Copies,34.403500,0.000000,0
NL_F_Eval,735.791200,0.000048,35551
KINSol,1603.710700,18.292047,2.93352e+10
Total Runtime,1606.979900,-nan,0
